County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Northumberland,01/09/2021,0,1.9,267,90843,0,2.04,293.91,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Montgomery,11/14/2020,4,1.4,914,830915,0.48,0.17,110,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Beaver,04/27/2020,2,2.4,56,163929,1.22,1.48,34.16,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,07/02/2020,23,19.3,6973,12801989,0.18,0.15,54.47,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cumberland,03/28/2021,0,0.7,497,253370,0,0.28,196.16,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Montgomery,05/26/2020,2,6.1,705,830915,0.24,0.74,84.85,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Pennsylvania,05/13/2020,93,103.9,4944,12801989,0.73,0.81,38.62,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,03/03/2021,0,1,733,449058,0,0.22,163.23,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Crawford,02/10/2021,0,0.7,135,84629,0,0.84,159.52,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Cumberland,04/02/2021,2,0.6,501,253370,0.79,0.23,197.73,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Cumberland,11/10/2020,0,0.7,86,253370,0,0.28,33.94,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Franklin,04/08/2021,0,0.1,345,155027,0,0.09,222.54,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Sullivan,04/22/2021,0,0,20,6066,0,0,329.71,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Pennsylvania,02/12/2021,66,76.3,23532,12801989,0.52,0.6,183.82,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,02/16/2021,0,0.1,341,163929,0,0.09,208.02,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,07/11/2020,12,17.1,7125,12801989,0.09,0.13,55.66,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,01/12/2021,148,165.9,19949,12801989,1.16,1.3,155.83,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
York,10/21/2020,1,1.4,204,449058,0.22,0.32,45.43,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cumberland,10/11/2020,0,0.1,77,253370,0,0.06,30.39,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Pennsylvania,05/17/2020,74,95.3,5318,12801989,0.58,0.74,41.54,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,08/06/2020,19,17.6,7506,12801989,0.15,0.14,58.63,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
