Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Indiana,07/01/2020,2,1.6,114,84073,2.4,1.9,135.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Indiana,07/27/2020,11,6.9,234,84073,13.1,8.2,278.3,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Perry,05/24/2020,0,1.3,48,46272,0,2.8,103.7,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Perry,05/16/2020,0,0.6,39,46272,0,1.2,84.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Wyoming,05/23/2020,0,0.6,35,26794,0,2.1,130.6,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Susquehanna,05/29/2020,0,1.9,110,40328,0,4.6,272.8,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wyoming,05/11/2020,1,0.3,29,26794,3.7,1.1,108.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Indiana,06/27/2020,1,0.4,104,84073,1.2,0.5,123.7,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,05/30/2020,0,0.7,58,44923,0,1.6,129.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,07/08/2020,0,0.6,100,44923,0,1.3,222.6,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/24/2020,0,0.6,90,84073,0,0.7,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Union,06/07/2020,1,2.3,74,44923,2.2,5.1,164.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,06/14/2020,1,1.6,85,44923,2.2,3.5,189.2,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/14/2020,1,0.6,36,44923,2.2,1.3,80.1,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/01/2020,1,0.9,30,44923,2.2,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Union,05/03/2020,0,0.9,30,44923,0,1.9,66.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Juniata,04/17/2021,5,5.1,2005,24763,20.2,20.8,8096.8,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Union,07/16/2020,1,1.7,112,44923,2.2,3.8,249.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Cameron,03/21/2021,0,0.1,267,4447,0,3.2,6004,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Susquehanna,06/19/2020,0,1.4,180,40328,0,3.5,446.3,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wyoming,05/10/2020,1,0.1,28,26794,3.7,0.5,104.5,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Warren,04/17/2021,1,8,2431,39191,2.6,20.4,6203,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Juniata,04/16/2021,5,4.4,2000,24763,20.2,17.9,8076.6,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Union,03/24/2020,0,0,0,44923,0,0,0,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Indiana,05/25/2020,0,0.4,90,84073,0,0.5,107,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,05/04/2020,0,1.1,27,26794,0,4.3,100.8,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Cameron,03/14/2021,0,0.3,266,4447,0,6.4,5981.6,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lycoming,08/08/2020,9,7.9,400,113299,7.9,6.9,353,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Indiana,07/16/2020,2,8,180,84073,2.4,9.5,214.1,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,04/19/2020,0,0.9,18,26794,0,3.2,67.2,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Fulton,04/17/2021,3,3.9,1253,14530,20.6,26.5,8623.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Warren,02/09/2021,10,7,2094,39191,25.5,17.9,5343.1,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Warren,01/14/2021,7,17.6,1846,39191,17.9,44.8,4710.3,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Crawford,03/21/2020,0,0,0,84629,0,0,0,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Indiana,08/25/2020,3,5.1,415,84073,3.6,6.1,493.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Wyoming,06/01/2020,0,0.1,36,26794,0,0.5,134.4,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Cameron,03/27/2021,3,1.4,277,4447,67.5,32.1,6228.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Lawrence,06/19/2020,2,0.7,94,85512,2.3,0.8,109.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Montour,03/30/2021,5,4.6,1840,18230,27.4,25.1,10093.3,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Philadelphia,12/13/2020,666,976.3,77003,1584064,42,61.6,4861.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Berks,03/17/2021,126,127.3,37619,421164,29.9,30.2,8932.1,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lancaster,08/08/2020,67,39.3,5943,545724,12.3,7.2,1089,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,06/07/2020,362,524,76206,12801989,2.8,4.1,595.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Delaware,03/14/2021,73,102.4,42438,566747,12.9,18.1,7488,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Beaver,04/04/2021,11,44.4,13411,163929,6.7,27.1,8181,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Schuylkill,04/18/2021,9,41.3,13634,141359,6.4,29.2,9644.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Montour,02/13/2021,4,3.9,1699,18230,21.9,21.2,9319.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Centre,04/23/2021,70,52.7,16067,162385,43.1,32.5,9894.4,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Beaver,02/12/2021,58,51.7,11623,163929,35.4,31.5,7090.3,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Indiana,07/19/2020,1,3.6,184,84073,1.2,4.2,218.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Luzerne,03/04/2021,66,51.9,25244,317417,20.8,16.3,7952.9,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lancaster,07/07/2020,54,29.4,4678,545724,9.9,5.4,857.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,12/30/2020,8354,7134.3,643171,12801989,65.3,55.7,5024,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Delaware,03/20/2021,109,108.1,43122,566747,19.2,19.1,7608.7,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Northumberland,03/26/2021,16,16.4,8498,90843,17.6,18.1,9354.6,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Wyoming,04/25/2021,3,9.3,1795,26794,11.2,34.7,6699.3,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lancaster,11/30/2020,331,335.6,17073,545724,60.7,61.5,3128.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Berks,03/06/2021,58,101.9,36355,421164,13.8,24.2,8632,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lebanon,01/19/2021,112,87.3,11009,141793,79,61.6,7764.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Adams,09/15/2020,7,5.6,775,103009,6.8,5.4,752.4,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Allegheny,02/18/2021,276,233.1,74276,1216045,22.7,19.2,6108,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Erie,10/28/2020,39,26.7,2128,269728,14.5,9.9,788.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Erie,10/29/2020,53,29.9,2181,269728,19.6,11.1,808.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Huntingdon,04/17/2021,9,10.7,4762,45144,19.9,23.7,10548.5,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Schuylkill,02/21/2021,18,23.7,11936,141359,12.7,16.8,8443.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Pennsylvania,11/17/2020,6736,5604.4,284831,12801989,52.6,43.8,2224.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clarion,02/25/2021,4,5.1,2689,38438,10.4,13.4,6995.7,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
McKean,02/18/2021,12,8.3,2998,40625,29.5,20.4,7379.7,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Dauphin,12/19/2020,147,201.6,12176,278299,52.8,72.4,4375.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
McKean,02/21/2021,1,5.7,3014,40625,2.5,14.1,7419.1,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Northumberland,12/01/2020,60,58.4,2797,90843,66,64.3,3078.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lancaster,01/04/2021,533,331.9,29639,545724,97.7,60.8,5431.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Chester,02/25/2021,132,95.1,30376,524989,25.1,18.1,5786,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Pennsylvania,04/24/2021,2875,3850.9,1134397,12801989,22.5,30.1,8861.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Sullivan,12/19/2020,2,2.3,125,6066,33,37.7,2060.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Berks,02/21/2021,77,103.7,35082,421164,18.3,24.6,8329.8,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Lancaster,09/21/2020,48,36.7,7631,545724,8.8,6.7,1398.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Pennsylvania,07/31/2020,900,906.3,113711,12801989,7,7.1,888.2,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lebanon,01/08/2021,203,125.7,9989,141793,143.2,88.7,7044.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
McKean,12/31/2020,57,33.9,1771,40625,140.3,83.3,4359.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Pennsylvania,01/22/2021,5828,5419.3,802507,12801989,45.5,42.3,6268.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Luzerne,01/23/2021,122,142.7,21717,317417,38.4,45,6841.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Chester,11/03/2020,81,61.7,8572,524989,15.4,11.8,1632.8,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Sullivan,04/23/2021,2,2,389,6066,33,33,6412.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Sullivan,12/06/2020,2,3.3,87,6066,33,54.2,1434.2,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Lebanon,04/25/2021,28,56.7,15146,141793,19.7,40,10681.8,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Northampton,04/19/2021,168,131.9,33414,305285,55,43.2,10945.2,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Pennsylvania,07/23/2020,1219,884.3,106269,12801989,9.5,6.9,830.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Venango,03/18/2021,2,4.9,3527,50668,3.9,9.6,6961,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Sullivan,03/30/2021,0,0.6,342,6066,0,9.4,5638,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Chester,04/01/2021,225,179.9,34526,524989,42.9,34.3,6576.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Sullivan,02/16/2021,2,2.1,307,6066,33,35.3,5061,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Schuylkill,02/19/2021,28,24.6,11900,141359,19.8,17.4,8418.3,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
McKean,02/25/2021,6,5.3,3035,40625,14.8,13,7470.8,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Pennsylvania,11/07/2020,3151,3019.6,233075,12801989,24.6,23.6,1820.6,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lancaster,12/04/2020,401,388.7,18939,545724,73.5,71.2,3470.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Luzerne,04/22/2021,128,103.7,29666,317417,40.3,32.7,9346.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Montour,01/10/2021,12,20.4,1305,18230,65.8,112.1,7158.5,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Pennsylvania,07/18/2020,736,825.4,101635,12801989,5.7,6.4,793.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Dauphin,12/08/2020,158,221.9,9697,278299,56.8,79.7,3484.4,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Adams,01/25/2021,64,55.4,6397,103009,62.1,53.8,6210.1,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Clinton,04/24/2021,7,15.7,3481,38632,18.1,40.7,9010.7,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Adams,12/20/2020,70,86.6,3743,103009,68,84,3633.7,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lancaster,12/01/2020,368,338.3,17441,545724,67.4,62,3195.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Dauphin,01/01/2021,110,138,14177,278299,39.5,49.6,5094.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Chester,10/23/2020,42,38.7,7927,524989,8,7.4,1509.9,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Northumberland,02/25/2021,14,12.4,8017,90843,15.4,13.7,8825.1,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Adams,11/03/2020,6,14.7,1258,103009,5.8,14.3,1221.3,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Delaware,03/12/2021,109,102.9,42265,566747,19.2,18.1,7457.5,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Adams,04/12/2021,38,34.1,8556,103009,36.9,33.1,8306.1,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Luzerne,01/10/2021,148,227.4,19634,317417,46.6,71.6,6185.6,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Clarion,02/19/2021,8,7.1,2661,38438,20.8,18.6,6922.8,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Northumberland,02/22/2021,10,24.3,7975,90843,11,26.7,8778.9,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
McKean,04/05/2021,7,6,3216,40625,17.2,14.8,7916.3,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Allegheny,02/14/2021,173,267.6,73325,1216045,14.2,22,6029.8,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/01/2020,67,76,12539,1216045,5.5,6.2,1031.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Schuylkill,02/28/2021,10,16.4,12051,141359,7.1,11.6,8525.1,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Northumberland,03/19/2021,34,22,8383,90843,37.4,24.2,9228,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Montour,03/31/2021,4,4.7,1844,18230,21.9,25.9,10115.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Schuylkill,02/11/2021,32,34.3,11679,141359,22.6,24.3,8261.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Bedford,07/02/2020,1,2,90,47888,2.1,4.2,187.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Berks,03/10/2021,129,91.4,36728,421164,30.6,21.7,8720.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Monroe,11/11/2020,41,33.3,2439,170271,24.1,19.5,1432.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Delaware,11/26/2020,220,246.3,19809,566747,38.8,43.5,3495.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Luzerne,02/26/2021,55,55.4,24936,317417,17.3,17.5,7855.9,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Monroe,03/04/2021,45,41.9,9912,170271,26.4,24.6,5821.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Crawford,03/09/2021,3,9,6517,84629,3.5,10.6,7700.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
McKean,03/28/2021,3,5.6,3164,40625,7.4,13.7,7788.3,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Sullivan,01/24/2021,0,5.7,259,6066,0,94.2,4269.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Monroe,03/05/2021,51,43.1,9963,170271,30,25.3,5851.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lancaster,01/11/2021,391,390.1,32370,545724,71.6,71.5,5931.6,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Schuylkill,04/13/2021,47,44.6,13457,141359,33.2,31.5,9519.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Chester,08/15/2020,30,29.7,5364,524989,5.7,5.7,1021.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Berks,03/31/2021,154,170.1,40050,421164,36.6,40.4,9509.4,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Philadelphia,12/09/2020,898,1098.3,73399,1584064,56.7,69.3,4633.6,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Chester,02/05/2021,139,133.3,28158,524989,26.5,25.4,5363.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Adams,01/16/2021,79,69.7,5888,103009,76.7,67.7,5716,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Adams,09/02/2020,11,15.1,704,103009,10.7,14.7,683.4,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northampton,01/25/2021,255,189.3,22387,305285,83.5,62,7333.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Bedford,07/25/2020,8,2.6,124,47888,16.7,5.4,258.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Adams,01/22/2021,39,61.1,6237,103009,37.9,59.4,6054.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northampton,02/15/2021,118,132,25644,305285,38.7,43.2,8400,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Montour,04/06/2021,6,4.6,1872,18230,32.9,25.1,10268.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Pennsylvania,03/04/2021,2601,2531.4,944954,12801989,20.3,19.8,7381.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Berks,04/03/2021,128,195,40687,421164,30.4,46.3,9660.6,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Chester,03/14/2021,61,86.3,31826,524989,11.6,16.4,6062.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Adams,03/13/2021,21,24.6,7645,103009,20.4,23.9,7421.7,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Northampton,02/14/2021,42,146.9,25526,305285,13.8,48.1,8361.4,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Chester,11/04/2020,78,62,8650,524989,14.9,11.8,1647.7,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lancaster,03/21/2021,75,121.6,46289,545724,13.7,22.3,8482.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Bedford,08/04/2020,1,1.4,135,47888,2.1,3,281.9,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Montour,12/27/2020,10,20.6,1016,18230,54.9,112.8,5573.2,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Allegheny,11/05/2020,232,173.6,16855,1216045,19.1,14.3,1386.1,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
McKean,11/15/2020,10,11.6,302,40625,24.6,28.5,743.4,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Monroe,11/28/2020,44,71.7,3429,170271,25.8,42.1,2013.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Delaware,04/07/2021,219,200.9,46344,566747,38.6,35.4,8177.2,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Luzerne,03/22/2021,50,65.1,26272,317417,15.8,20.5,8276.8,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Monroe,03/20/2021,45,58,10749,170271,26.4,34.1,6312.9,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Crawford,03/14/2021,6,9.1,6570,84629,7.1,10.8,7763.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Fayette,04/22/2021,36,39,12196,129274,27.8,30.2,9434.2,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Luzerne,04/02/2021,163,104.9,27466,317417,51.4,33,8653,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Sullivan,03/21/2021,0,2.7,337,6066,0,44.7,5555.6,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Montgomery,04/15/2021,338,310.6,64492,830915,40.7,37.4,7761.6,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Lancaster,08/21/2020,35,35.1,6447,545724,6.4,6.4,1181.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lackawanna,12/25/2020,162,130.1,8287,209674,77.3,62.1,3952.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Adams,10/16/2020,15,8,1006,103009,14.6,7.8,976.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Pennsylvania,02/13/2021,2429,3368.7,896320,12801989,19,26.3,7001.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Crawford,04/24/2021,13,14,6972,84629,15.4,16.5,8238.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Susquehanna,04/17/2021,9,16.1,2259,40328,22.3,40,5601.6,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Lebanon,12/20/2020,106,108,7823,141793,74.8,76.2,5517.2,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Berks,03/07/2021,67,105.1,36422,421164,15.9,25,8647.9,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
McKean,01/25/2021,41,42.7,2639,40625,100.9,105.1,6496,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Adams,08/28/2020,31,9.4,644,103009,30.1,9.2,625.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Sullivan,12/14/2020,3,3.4,115,6066,49.5,56.5,1895.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
McKean,04/24/2021,2,9.6,3427,40625,4.9,23.6,8435.7,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Lancaster,07/30/2020,41,44,5544,545724,7.5,8.1,1015.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lancaster,06/12/2020,22,41.4,3727,545724,4,7.6,682.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Adams,12/18/2020,184,96.6,3634,103009,178.6,93.8,3527.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Erie,04/24/2021,36,47,19873,269728,13.3,17.4,7367.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Beaver,01/21/2021,56,67.1,10521,163929,34.2,41,6418,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Lancaster,03/31/2021,162,179.1,48025,545724,29.7,32.8,8800.2,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
McKean,11/25/2020,14,16.7,464,40625,34.5,41.1,1142.2,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Monroe,11/17/2020,33,42.4,2695,170271,19.4,24.9,1582.8,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Pennsylvania,01/02/2021,4847,7401,664397,12801989,37.9,57.8,5189.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Crawford,03/20/2021,6,8.7,6625,84629,7.1,10.3,7828.3,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Northumberland,01/27/2021,40,49.3,6759,90843,44,54.3,7440.3,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Allegheny,12/10/2020,1454,952.9,38172,1216045,119.6,78.4,3139,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lackawanna,12/13/2020,103,108.3,6736,209674,49.1,51.6,3212.6,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Adams,11/13/2020,20,24.6,1512,103009,19.4,23.9,1467.8,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lancaster,08/15/2020,31,41.3,6232,545724,5.7,7.6,1142,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Philadelphia,02/08/2021,551,348,108352,1584064,34.8,22,6840.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Pennsylvania,11/16/2020,5594,5330.3,278095,12801989,43.7,41.6,2172.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Monroe,02/17/2021,42,40.7,9355,170271,24.7,23.9,5494.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Pennsylvania,02/12/2021,3840,3647.3,893891,12801989,30,28.5,6982.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Bedford,08/17/2020,1,1.4,156,47888,2.1,3,325.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Lancaster,03/07/2021,60,119.9,44585,545724,11,22,8169.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Adams,10/25/2020,17,12,1120,103009,16.5,11.6,1087.3,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Montour,03/10/2021,1,1.6,1771,18230,5.5,8.6,9714.8,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
