Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Columbia,01/13/2021,52,67.3,3617,64964,80,103.6,5567.7,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Clinton,01/15/2021,15,20.1,2347,38632,38.8,52.1,6075.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Westmoreland,01/13/2021,191,245.3,22770,348899,54.7,70.3,6526.2,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Bradford,06/16/2020,0,0.6,54,60323,0,0.9,89.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Carbon,02/01/2021,35,34.7,4465,64182,54.5,54.1,6956.8,42025,-75.71107039,40.91936701,POINT (-75.71107039 40.91936701)
Bradford,04/03/2021,25,25.4,4931,60323,41.4,42.2,8174.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Butler,06/17/2020,0,1.1,263,187853,0,0.6,140,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Lawrence,05/29/2020,3,0.6,81,85512,3.5,0.7,94.7,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Butler,03/03/2021,45,34.9,14072,187853,24,18.6,7491,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Mifflin,03/04/2021,10,7.7,4639,46138,21.7,16.7,10054.6,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Lycoming,04/06/2021,35,42.4,10533,113299,30.9,37.4,9296.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Wyoming,02/18/2021,4,3,1134,26794,14.9,11.2,4232.3,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Washington,04/29/2020,3,4,124,206865,1.5,1.9,59.9,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Luzerne,11/29/2020,141,199,9847,317417,44.4,62.7,3102.2,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lawrence,09/10/2020,1,1.9,484,85512,1.2,2.2,566,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Susquehanna,09/22/2020,0,0.6,300,40328,0,1.4,743.9,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
York,07/17/2020,12,19.9,1980,449058,2.7,4.4,440.9,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
